2008-12-5,   +24,   745,   С2м/с
2008-13-5,   +21,   744,   ЮЗ3м/с
2008-14-5,   +12,   738,   В1м/с
2008-15-5,   +10,   741,   ЮЗ4м/с
2008-16-5,   +13,   749,   З3м/с
2008-17-5,   +21,   749,   ЮЗ3м/с
2008-18-5,   +22,   751,   З1м/с
2008-19-5,   +27,   752,   ЮЗ3м/с
2008-20-5,   +29,   752,   ЮЗ2м/с
2008-21-5,   +29,   750,   ЮЗ1м/с
2008-22-5,   +29,   748,   ЮЗ1м/с
2008-23-5,   +18,   751,   С4м/с
2008-24-5,   +20,   748,   В2м/с
2008-25-5,   +25,   744,   З2м/с
2008-26-5,   +22,   739,   СЗ2м/с
2008-27-5,   +17,   744,   С2м/с
2008-28-5,   +10,   742,   С3м/с
2008-29-5,   +11,   738,   СЗ2м/с
2008-30-5,   +19,   740,   З2м/с
2008-31-5,   +12,   740,   СВ1м/с
2008-1-6,   +16,   742,   З2м/с
2008-2-6,   +13,   747,   З1м/с
2008-3-6,   +19,   747,   Ш
2008-4-6,   +19,   746,   З1м/с
2008-5-6,   +16,   739,   ЮЗ3м/с
2008-6-6,   +14,   743,   СЗ3м/с
2008-7-6,   +12,   744,   С3м/с
2008-8-6,   +9,   749,   С3м/с
2008-9-6,   +14,   748,   ЮЗ4м/с
2008-10-6,   +21,   741,   ЮЗ4м/с
2008-11-6,   +20,   746,   ЮЗ2м/с
2008-12-6,   +28,   747,   З2м/с
2008-13-6,   +27,   747,   В1м/с
2008-14-6,   +26,   745,   С1м/с
2008-15-6,   +27,   744,   С3м/с
2008-16-6,   +30,   745,   ЮВ1м/с
2008-17-6,   +25,   746,   Ш
2008-18-6,   +27,   744,   З1м/с
2008-19-6,   +27,   745,   С1м/с
2008-20-6,   +23,   747,   СВ3м/с
2008-21-6,   +26,   747,   СВ3м/с
2008-22-6,   +31,   742,   В3м/с
2008-23-6,   +25,   741,   ЮЗ2м/с
2008-24-6,   +22,   740,   СВ2м/с
2008-25-6,   +17,   738,   В1м/с
2008-26-6,   +20,   740,   З2м/с
2008-27-6,   +20,   745,   СЗ3м/с
2008-28-6,   +23,   747,   СЗ2м/с
2008-29-6,   +21,   744,   ЮЗ2м/с
2008-30-6,   +21,   739,   В1м/с
2008-1-7,   +19,   738,   З1м/с
2008-2-7,   +21,   738,   Ш
2008-3-7,   +21,   738,   С2м/с
2008-4-7,   +23,   739,   СВ2м/с
2008-5-7,   +24,   738,   В2м/с
2008-6-7,   +27,   741,   ЮВ1м/с
2008-7-7,   +28,   743,   Ю3м/с
2008-8-7,   +24,   746,   СВ1м/с
2008-9-7,   +26,   743,   С2м/с
2008-10-7,   +26,   744,   Ю3м/с
2008-11-7,   +28,   744,   ЮЗ2м/с
2008-12-7,   +21,   742,   Ю2м/с
2008-13-7,   +23,   744,   СЗ2м/с
2008-14-7,   +27,   748,   З2м/с
2008-15-7,   +30,   748,   СЗ2м/с
2008-16-7,   +32,   746,   С1м/с
2008-17-7,   +32,   746,   С2м/с
2008-18-7,   +31,   748,   В3м/с
2008-19-7,   +31,   747,   В2м/с
2008-20-7,   +31,   744,   В1м/с
2008-21-7,   +25,   747,   Ю1м/с
2008-22-7,   +28,   748,   С2м/с
2008-23-7,   +32,   749,   СВ1м/с
2008-24-7,   +31,   749,   В1м/с
2008-25-7,   +27,   746,   С2м/с
2008-26-7,   +26,   745,   С1м/с
2008-27-7,   +22,   744,   Ш
2008-28-7,   +15,   741,   СВ3м/с
2008-29-7,   +24,   744,   З1м/с
2008-30-7,   +21,   747,   ЮЗ4м/с
2008-31-7,   +23,   749,   З2м/с
2008-1-8,   +23,   750,   ЮЗ2м/с
2008-2-8,   +24,   747,   ЮЗ1м/с
2008-3-8,   +25,   747,   З3м/с
2008-4-8,   +23,   742,   С2м/с
2008-5-8,   +24,   744,   З2м/с
2008-6-8,   +21,   738,   ЮЗ3м/с
2008-7-8,   +17,   736,   СЗ1м/с
2008-8-8,   +13,   743,   ЮЗ3м/с
2008-9-8,   +20,   748,   З2м/с
2008-10-8,   +23,   749,   З3м/с
2008-11-8,   +30,   749,   ЮЗ3м/с
2008-12-8,   +31,   750,   З1м/с
2008-13-8,   +33,   751,   З1м/с
2008-14-8,   +33,   751,   ЮЗ1м/с
2008-15-8,   +33,   750,   З1м/с
2008-16-8,   +35,   750,   Ш
2008-17-8,   +32,   752,   С2м/с
2008-18-8,   +32,   752,   Ш
2008-19-8,   +33,   747,   Ю1м/с
2008-20-8,   +35,   744,   Ю1м/с
2008-21-8,   +23,   747,   СЗ2м/с
2008-22-8,   +27,   746,   Ю1м/с
2008-23-8,   +25,   747,   З1м/с
2008-24-8,   +27,   750,   З2м/с
2008-25-8,   +28,   750,   ЮВ2м/с
2008-26-8,   +30,   746,   ЮЗ3м/с
2008-27-8,   +22,   740,   ЮЗ5м/с
2008-28-8,   +19,   744,   З3м/с
2008-29-8,   +25,   744,   ЮЗ3м/с
2008-30-8,   +24,   740,   Ю4м/с
2008-31-8,   +18,   733,   ЮЗ5м/с
2008-1-9,   +13,   741,   З3м/с
2008-2-9,   +15,   749,   З5м/с
2008-3-9,   +14,   751,   З2м/с
2008-4-9,   +20,   753,   З2м/с
2008-5-9,   +26,   753,   З3м/с
2008-6-9,   +29,   753,   ЮЗ2м/с
2008-7-9,   +30,   753,   Ю2м/с
2008-8-9,   +29,   748,   ЮЗ3м/с
2008-9-9,   +29,   744,   ЮЗ2м/с
2008-10-9,   +18,   747,   С2м/с
2008-11-9,   +16,   747,   В3м/с
2008-12-9,   +13,   741,   В3м/с
2008-13-9,   +15,   741,   ЮЗ1м/с
2008-14-9,   +15,   742,   Ю1м/с
2008-15-9,   +11,   734,   В2м/с
2008-16-9,   +8,   746,   С3м/с
2008-17-9,   +10,   753,   С2м/с
2008-18-9,   +12,   757,   СЗ2м/с
2008-19-9,   +14,   760,   В1м/с
2008-20-9,   +14,   762,   СВ2м/с
2008-21-9,   +14,   763,   В2м/с
2008-22-9,   +15,   762,   В2м/с
2008-23-9,   +15,   759,   В2м/с
2008-24-9,   +15,   757,   В1м/с
2008-25-9,   +13,   753,   Ш
2008-26-9,   +10,   751,   С3м/с
2008-27-9,   +6,   753,   С2м/с
2008-28-9,   +7,   752,   ЮВ1м/с
2008-29-9,   +14,   747,   ЮЗ4м/с
2008-30-9,   +14,   749,   ЮЗ3м/с
2008-1-10,   +15,   752,   Ю2м/с
2008-2-10,   +17,   753,   Ю1м/с
2008-3-10,   +20,   754,   ЮЗ3м/с
2008-4-10,   +21,   756,   Ю2м/с
2008-5-10,   +21,   756,   Ю2м/с
2008-6-10,   +21,   755,   Ш
2008-7-10,   +21,   752,   Ш
2008-8-10,   +21,   748,   З1м/с
2008-9-10,   +9,   746,   С3м/с
2008-10-10,   +6,   752,   З3м/с
2008-11-10,   +5,   753,   Ш
2008-12-10,   +7,   744,   ЮЗ4м/с
2008-13-10,   +12,   741,   З2м/с
2008-14-10,   +12,   745,   З4м/с
2008-15-10,   +13,   742,   ЮЗ4м/с
2008-16-10,   +10,   749,   СЗ2м/с
